ID,Category
1,Apple Family
2,Cake Family
3,Cutie Mark Crusaders
4,Dragons
5,Fan Favorites
6,Generation 1
7,Generation 4
9,Generation 5
10,Griffons
11,Hippogriffs
12,Hippogriffs/Seaponies
13,Non Pony Characters
14,Pie Family
15,Pillars of Old Equestria
16,Ponyville Residents
17,Power Ponies
18,Rich Family
19,Royalty
20,School Age Ponies
21,Shy Family
22,Storm Creatures
23,Supporting Characters
24,Villains
25,Wonderbolts
26,Young Six
